team_name,model_name,model_abbr,model_contributors,website_url,license,team_model_designation,methods,data_inputs,methods_long,team_funding,citation,repo_url,twitter_handles,institution_affil,this_model_is_an_ensemble
QJHong,Encounter,QJHong-Encounter,Qi-Jun Hong <qhong@alumni.caltech.edu>,https://qjhong.github.io,cc-by-4.0,primary,"today's ""Daily New Confirmed Cases"" + today's ""Encounter Density""  ==> today's newly infected Cases  ==> next 2-3 weeks' ""Daily New Confirmed Cases""","Covid Tracking Project, and JHU","
today's ""Daily New Confirmed Cases"" + today's ""Encounter Density"" ==> today's newly infected Cases ==> next 2-3 weeks' ""Daily New Confirmed Cases"" (Encounter Density D data source: Unacast's Social Distancing Scoreboard, which analyzes cell phone location data, counts ""Human Encounters"", defined as two      cell phone devices that were in the same place at the same time, and then derives the probability and ""Encounter Density"".)
My model uses current ""Encounter Density"" D to predict future ""Reproductive Number"" R and ""Daily New Confirmed Cases"". This is the most fundamental idea and    assumption in this model.
The strong correlation between R and D (D is shifted by 22 days) is evident. While social distancing quickly brought down R, easing policy is slowly increasing R back above 1.
Using (1) R and D relation in the past as a training set, (2) future D as input, and (3) machine learning / regression, my model can predict future R, and ultimately future Daily New Cases.",NA,https://github.com/qjhong/covid19,https://github.com/qjhong/covid19,NA,NA,NA
Quantori modeling,The Agent-based local stochastic model of COVID-19,Quantori-Multiagents,Yuriy Gankin <yuriy.gankin@quantori.com>  Semyon Semyonov <semyon.semyonov@quantori.com> ,https://github.com/reichlab/covid19-forecast-hub/tree/master/data-processed/Quantori-Multiagents,cc-by-4.0,primary,The Agent-based local stochastic model of COVID-19 transmission,NA,"This model incorporates the reported geographic incidence data, which include individual’s age, infection status, and the severity of the disease.  The model accounts for the latent period of the individual’s infection before detection and proper reporting as well as for different disease severity levels.  The framework also allows to incorporate the exact geographic addresses of individuals (if available) or the random geographic distribution of individuals.",private,NA,NA,NA,NA,NA
RPI and UW,Mobility-informed Collision Model,RPI_UW-Mob_Collision,"Yunfeng Shi (RPI) shiy2@rpi.edu, Tanooj Shah (RPI) shaht2@rpi.edu, Xuegang Ban (Univ. of Washington) banx@uw.edu",http://rpi-uw-covid-mobility.herokuapp.com/,cc-by-4.0,primary,A mobility-informed simplified SIR model motivated by collision theory.,JHU COVID-19 fatality and Google Mobility.,"We incorporate mobility information into a simplified SIR model which has an analytical solution with only two fitting parameters. Without any social- distancing policy or geological/demographic inputs, the model works very well  for the twenty hardest-hit counties in the United States. This model is quite  different from other models yet provide parameters with clear physical meaning.  We have shown the cumulative mobility plays the role of time in controling  exponential growth of outbreak. Furthermore, there exists a critical relative  mobility above which outbreak will occur. For NYC, this critical relative  mobility is 30%. The critical relative mobility is ~60% for all other counties.  In this forecast, we chose the ~30 heaviest hit states, while combine the rest  of the states together into one superstate. This practice is necessary to obtain  meaningful model parameters. The forecast is based on Eq. 3 of the citation above,  fatality-reference, which is the average of the 11-day-period prior to prediction-date.  The cumulative mobility is the average of three Google mobility categories:  retail and recreation, transit station and work place. We have shown in  our paper those three categorites behave similarly. We conducted standard error  analysis on our forecast in which the uncertainty comes from both the fitting  error and the variation of the reference fatality. Quantile forecast is calculated  based on standard error assuming normal distribution. State-level forecast has been  included for 32 states. Other states and county-level forecast will be included later. Starting Nov 29th, we included a summer reduction of 10% from 06/01 to 09/01 and an  election mobility increase of 10% from 09/01 to 11/03. The summer reduction of mobility  accounts for elevated outdoor activities while election mobility increase accounts for  large gatherings of political rally which maybe washed out in the averaged state-mobility.  Google mobility data may have been affected by a recent Sep update. ",No funding support.,https://www.medrxiv.org/content/10.1101/2020.07.25.20162016v1,NA,NA,NA,NA
Robert Walraven,EmpericalSkewedGaussian,RobertWalraven-ESG,Robert Walraven <walraven@multiwareinc.com>,http://rwalraven.com/COVID19,cc-by-4.0,primary,Multiple skewed gaussian distribution peaks fit to raw data,Existing case and death raw data from Microsoft Bing Tracker. In process of switching to JHU data.,"The existing case and death raw data is cleaned slightly for anomolies, then is fit with model consisting of one or more skewed gaussian distributions using a distribution model I developed.  The model estimates the height, position, and spread of each peak that appears in the data and can be used to project ahead with reasonable results. This is an emperical approach that makes no epidemiological assumptions but simply fits the existing data as well as possible. The model assumes that the effects of current interventions are reflected in the observed data and that those effects will continue going forward.",None (I'm a retired Experimental Physicist working at home),NA,NA,NA,NA,NA
STH,3 Phase Unadjusted,STH-3PU,Steve Horstman <covid19_model@nym.hush.com> ,https://public.tableau.com/profile/covid19model#!/vizhome/COVID-19DeathProjections/USDeaths,cc-by-4.0,primary,Model assumes pandemics hit in 3 distinct phases. Each phase can be represented by a single function and therefore the variables can be isolated. ,"reported deaths, government restrictions and recommendations, mobility data, surveys on isolation behavior","Simplified model: Deaths(x) = Deaths(x-1)*R  * (1-E) * (1-H) where
            R is the rate of growth in a given society with no prior infections and no societal intervention.
            E is the effectiveness of societal interventions such as social distancing, face masks, etc. 
            H is the % of the population with immunity to the virus
    In modeling E known societal restrictions are used for near-term projections. Projections greater than 1 month out assume that 
            effectiveness will be adjusted relative to the daily deaths at that location on April 30. i.e.  The more that day's deaths is below the April 30,
            mark the greater the effectiveness will be reduced and the more that day's deaths exceed deaths on April 30, the more the effectiveness is increased.
    In modeling H, death totals and not infection totals are used. Current assumptions being a 0.50% death rate and 20% of the population had 
            some prior resistance.",NA,NA,NA,STHorstman,NA,FALSE
Snyder Wilson Consulting,Terminus Compartmental Model,SWC-TerminusCM,"Timothy L. Snyder <tsnyder701@gmail.com>, Davison D. Wilson <davisondwilson@gmail.com>",https://github.com/reichlab/covid19-forecast-hub/tree/master/data-processed/SWC-TerminusCM,cc-by-4.0,primary,Terminus is a mechanistic Compartmental Model using disease parameter estimates from literature. It uses Bayesian inference to predict the most likely model parameters.,"County-level confirmed cases and deaths, state-level hospitalizations, policy change dates",NA,NA,NA,https://github.com/tsnyder701/terminus,NA,NA,NA
Steve McConnell,Covid Complete,SteveMcConnell-CovidComplete,"Steve McConnell (Construx) <stevemcc@construx.com>, Brian Donaldson (XYZZY) <maynebri@gmail.com>",https://stevemcconnell.com/covid,cc-by-4.0,primary,"National level and state level, near-term (1-4 week) fatality forecasts.","US Census (population), Covid Tracking Project, JHU","This is a near-term fatality prediction model that calculates and uses fatality trends at the national and state level, trends in positive virus tests and total virus tests, and age-related demographics for state forecasts.
Model forecasts are based on predicting near-term deaths from recent positive virus tests. The model assumes average delays of 4 days from infection to test, 14-17.5 days from positive test to death, and 18 days from infection to death. No assumptions are made about the effectiveness of interventions or treatments; the model assumes that any such change in effectiveness will be included implicitly in the historical fatality data and the fatality rates calculated from that data. This model uses a Rational Actor assumption for weeks 3-4, in which states that  have death rates below their historical averages remain flat and states that have  death rates above their historical averages revert toward their averages.  No assumptions are made regarding specifics of reopenings or specific governmental interventions.",Construx Software,https://stevemcconnell.com/covid,NA,stevemconstrux,NA,NA
Hussain Lab at Texas Tech University,SQUIDER,TTU-squider,"Fazle Hussain (Texas Tech University),  Zeina Khan (Texas Tech University),  Frank Van Bussel (Texas Tech University)<frank.van-bussel@ttu.edu>",https://github.com/fvbttu/squider,cc-by-4.0,primary,"SIR-based compartmental model with a power law incidence rate, unknown as well as known infecteds, and time dependent social contact suppression and relaxation.","JHU CSSE (confirmed cases; reported fatalities), US Census (population)",NA,NA,https://arxiv.org/abs/2006.05955,NA,NA,NA,NA
University of Arizona,EpiGro Covid-19 model with Data Assimilation,UA-EpiCovDA,Hannah Biegel <hbiegel@math.arizona.edu> and Joceline Lega <lega@math.arizona.edu>,https://jocelinelega.github.io/EpiGro/,cc-by-4.0,primary,SIR mechanistic model with data assimilation.  ,NA,EpiCovDA is an extension of the EpiGro model. Model parameters are fit to Covid-19 data using a variational data assimilation method. A prior distribution of the parameters is estimated by fitting an SIR Incidence-Cumulative Cases curve to data from states that had at least 1000 cases by 04/01/2020. See <https://jocelinelega.github.io/EpiGro/> for more information about EpiGro. ,NA,NA,NA,NA,NA,NA
University of Central Florida,AI-Powered and Epidemiology-Informed Modeling System,UCF-AEM,"Dongdong Wang (UCF) <daniel.wang@knights.ucf.edu>, Timothy Summer (UCF) <tsumner@knights.ucf.edu>, Shunpu Zhang (UCF) <Shunpu.Zhang@ucf.edu>, Liqiang Wang (UCF) <Liqiang.Wang@ucf.edu>",https://github.com/UCF-AEM/UCF-AEM,cc-by-4.0,primary,This model leverages conventional SEIR model with mixture modeling and distilled the knowledge of complex mixture modeling system with ensemble neural networks.,NA,NA,UCF COVID-19 Artificial Intelligence and Big Data Seed Funding Program (Dr. Liqiang Wang and Dr. Shunpu Zhang),NA,NA,NA,NA,NA
UCLA Statistical Machine Learning Lab,SuEIR,UCLA-SuEIR,"Quanquan Gu <qgu@cs.ucla.edu>, Pan Xu, Jinghui Chen, Lingxiao Wang, Difan Zou, Weitong Zhang",https://covid19.uclaml.org/,cc-by-4.0,primary,The SuEIR model is a variant of the SEIR model considering both untested and unreported cases. The model considers reopening and assumes susceptible population will increase after the reopen.,"JHU CSSE case and death data, COVID19 tracking project hospitalization data","We update our model by considering the effects of reopenings. In particular, for the states that have reopened or partially reopened, we assume there is a transition from a virtual  “Quarantined/Isolated” group to the “Susceptible” group at a certain rate after the reopen date. This rate along with other model parameters are jointly estimated based on the reported data. The key feature of the SuEIR model is that it can infer the untested cases as well as unreported cases. More specifically, we treat the “Exposed” group in the SEIR model as the individuals that have already been infected and have not been tested, which are also capable of infecting the “Susceptible” group. Moreover, some of the people in the “Exposed” group can get tested and transferred to the “Infectious” group (which are reported to the public), while the rest of them will recover/die and transit to the so-called “Unreported Recovered” group (which are not reported to the public). More detailed model descriptions and projections can be found at https://covid19.uclaml.org.
Reference: Difan Zou, Lingxiao Wang, Pan Xu, Jinghui Chen, Weitong Zhang and Quanquan Gu, Epidemic Model Guided Machine Learning for COVID-19 Forecasts in the United States, medRxiv:2020.05.24.20111989, 2020.",TBD,https://www.medrxiv.org/content/10.1101/2020.05.24.20111989v1,NA,QuanquanGu,NA,NA
University of California Merced MESA Lab,Fractional order Generalized SEIR model,UCM_MESALab-FoGSEIR,"YangQuan Chen (Department of Engineering, University of California, Merced) <ychen53@ucmerced.edu> Yanting Zhao (Department of Automation, University of Science and Technology of China) <zyt9lsb@mail.ustc.edu.cn> Lihong Guo (Institute of Mathematics, Jilin University) <guolh17@mails.jlu.edu.cn>",http://mechatronics.ucmerced.edu/covid19,cc-by-4.0,primary,FoGSEIR model is a modification of integer order SEIR model considering fractional integrals. The model considers the age structure and reopening intervention to minimize infections and deaths.,"JHU CSSE case and death data, Google COVID-19 Community Mobility Report","The fractional order generalized SEIR model considers the power law functions of infection cases, as well as the recovery and death.   It is necessary to introduce the fractional integral with long memory property based on the integer  order SEIR model. Through the time-weighted performance index (ITSE) of the model fitting and parameter sensitivity analysis  of the model using Simulink Design Optimization (SLDO), it is proved that the fractional order model is superior to the integer order model in terms of short-term prediction. In our model, the more accurate prediction errors of incident death and cumulative death are provided. Based on this model, we can also study the optimization control problem. By studying mobility data, the lock-down and release policies of different countries, states and counties are changed accordingly. Control infection rates to   reduce cumulative infections and deaths effectively. The model can not only fit the prediction of infection cases, but also achieve a balance between the scale of infection and the socioeconomic status by developing age-based re-open intervention through the study of social mobility.",Alianza UCMX Special Funding for Binational Collaboration Addressing COVID-19,NA,NA,NA,"University of California, Merced, Department of Engineering",NA
UCSB,ACTS,UCSB-ACTS,"Xiaoyong Jin (University of California Santa Barbara) <x_jin@cs.ucsb.edu>, Yu-Xiang Wang ((University of California Santa Barbara) <yuxiangw@cs.ucsb.edu>, Xifeng Yan (University of California Santa Barbara) <xyan@cs.ucsb.edu>",https://github.com/Gandor26/covid-open,cc-by-4.0,primary,This data-driven machine learning model makes predictions by referring to other regions with similar growth patterns and assuming the similar development will take place in the current region.,"JHU CSSE cases and deaths, covid tracking project hospitalizations",NA,NSF,NA,NA,NA,NA,NA
UCSD_NEU,DeepGLEAM,UCSD_NEU-DeepGLEAM,"Dongxia Wu <dowu@ucsd.edu>, Liyao Gao <marsgao@uw.edu>, Yian Ma <yianma@ucsd.edu>, Rose Yu <roseyu@ucsd.edu>, Alessandro Vespignani <alexves@gmail.com>, Matteo Chinazzi <m.chinazzi@northeastern.edu>, Jessica T. Davis, Kunpeng Mu, Ana Pastore y Piontti, Xinyue Xiong <xiong.xin@northeastern.edu>",https://datascience.ucsd.edu/COVID19/,cc-by-4.0,primary,This forecasting model combines the signal of a discrete stochastic epidemic computational model GLEAM with a deep learning spatiotemporal forecasting framework to further improve predictions.,NA,"This forecasting model combines the signal of a discrete stochastic epidemic computational model based on a meta-population approach (GLEAM, https://https://covid19.gleamproject.org/) with a deep learning framework that learns spatial and temporal biases of past predictions to further improve forecasts. Like many others, this model assumes that the current intervention strategies continue in order to make predictions about the future death tolls.",NA,NA,NA,NA,NA,NA
University of Chicago,CovidIL,UChicago-CovidIL,"Sarah Cobey <cobey@uchicago.edu>, Philip Arevalo, Ed Baskerville, Spencer Carran, Katelyn Gostic, Laugen McGough, Sylvia Ranjeva, Frank Wen",https://github.com/cobeylab/covid_IL,cc-by-nc-4.0,primary,"This is a compartmental, age-structured SEIR model that infers past  SARS-CoV-2 transmission rates and forecasts mortality  under current and hypothetical public health interventions.",Confirmed COVID-19 deaths by EMS region in Illinois; ICU beds occupied by confirmed COVID-19 patients by EMS region in Illinois,"The model is age-structured to capture both age-specific contact patterns and age-specific differences in the biological dynamics, such as the probability of asymptomatic infection. Each model compartment is sub-divided into nine different age categories.  To model the state of Illinois, we divide the state into four regions based on the Restore Illinois plan. We infer a common statewide pre-intervention transmission rate, and a separate post-intervention transmission rate for each of the four regions. We also infer a region-specific initial number of infected individuals. Other model parameters are informed by Illinois-specific data or best estimates from existing literature. We fit the model to incident in-hospital deaths and confirmed COVID-19 ICU cases prior to May 15, 2020.   For inference, we use maximum likelihood inference via sequential Monte Carlo for partially observed Markov process models (POMP).   We assume that hospitalized deaths are reported with probability 0.8075 and we fitted the reporting rate of non-hospitalized deaths.  The model can be adapted to investigate different types of interventions.  We currently model shelter-in-place as a reduction in the overall transmission rate, which is shared by all infected individuals, and reductions in age- and location-specific contact rates.
To model the relaxing of shelter-in-place interventions, we project three different scenarios. 1) The inferred post-intervention transmission rate remains unchanged. We assume that this is maximum reduction in transmission and call this model CovidIL_100. 2) The post-SIP transmission rate increases 10% of the way back to pre-SIP transmission according to a logistic function centered on June 1. 3) The post-SIP transmission rate increases 30% of the way back to pre-SIP transmission according to a logistic function centered on June 1.",NIH,NA,NA,NA,NA,NA
University of Chicago,CovidIL_100,UChicago-CovidIL_100,"Sarah Cobey <cobey@uchicago.edu>, Philip Arevalo, Ed Baskerville, Spencer Carran, Katelyn Gostic, Laugen McGough, Sylvia Ranjeva, Frank Wen",https://github.com/cobeylab/covid_IL,cc-by-nc-4.0,other,"This is a compartmental, age-structured SEIR model that infers past  SARS-CoV-2 transmission rates and forecasts mortality  under current and hypothetical public health interventions.",Confirmed COVID-19 deaths by EMS region in Illinois; ICU beds occupied by confirmed COVID-19 patients by EMS region in Illinois,"The model is age-structured to capture both age-specific contact patterns and age-specific differences in the biological dynamics, such as the probability of asymptomatic infection. Each model compartment is sub-divided into nine different age categories.  To model the state of Illinois, we divide the state into 3 regions based on similarities in epidemic dynamics. We infer a common statewide pre-intervention transmission rate, and a separate post-intervention transmission rate for each of the three regions. We also infer a region-specific initial number of infected individuals. Other model parameters are informed by Illinois-specific data or best estimates from existing literature. We fit the model to incident in-hospital deaths and confirmed COVID-19 ICU cases prior to May 8, 2020.   For inference, we use maximum likelihood inference via sequential Monte Carlo for partially observed Markov process models (POMP). 	 We assume that hospitalized deaths are reported with probability 0.8075. Because we do not know what might cause underreporting of non-hospitalized deaths, our simulations integrate over that uncertainty by assuming that the reporting rate for non-hospitalized deaths is uniformly distributed from 0.25 to 0.75. The model can be adapted to investigate different types of interventions.  We currently model shelter-in-place as a reduction in the overall transmission rate, which is shared by all infected individuals, and reductions in age- and location-specific contact rates.
To model the relaxing of shelter-in-place interventions, we project four different scenarios. 1) The inferred post-intervention transmission rate remains unchanged. We assume that this is maximum reduction in transmission and call this model CovidIL_100. At our current estimates, this corresponds to a 78% reduction in pre-intervention transmission. 2) Transmission rates increase to 80% of the maximum reduction in transmission according to a logistic function centered on May 29. We call this model CovidIL_80. At our current estimates, this corresopnds to a 74% reduction in pre-intervention transmission. 3) Transmission rates increase to 60% of the maximum reduction in transmission according to a logistic function centered on May 29. We call this model CovidIL_60. At our current estimates, this corresopnds to a 69% reduction in pre-intervention transmission. 4) Transmission rates increase to 40% of the maximum reduction in transmission according to a logistic function centered on May 29. We call this model CovidIL_40. At our current estimates, this corresopnds to a 65% reduction in pre-intervention transmission.",NIH,NA,NA,NA,NA,NA
University of Chicago,CovidIL_10_increase,UChicago-CovidIL_10_+,"Sarah Cobey <cobey@uchicago.edu>, Philip Arevalo, Ed Baskerville, Spencer Carran, Katelyn Gostic, Laugen McGough, Sylvia Ranjeva, Frank Wen",https://github.com/cobeylab/covid_IL,cc-by-nc-4.0,other,"This is a compartmental, age-structured SEIR model that infers past  SARS-CoV-2 transmission rates and forecasts mortality  under current and hypothetical public health interventions.",Confirmed COVID-19 deaths by EMS region in Illinois; ICU beds occupied by confirmed COVID-19 patients by EMS region in Illinois,"The model is age-structured to capture both age-specific contact patterns and age-specific differences in the biological dynamics, such as the probability of asymptomatic infection. Each model compartment is sub-divided into nine different age categories.  To model the state of Illinois, we divide the state into four regions based on the Restore Illinois plan. We infer a common statewide pre-intervention transmission rate, and a separate post-intervention transmission rate for each of the four regions. We also infer a region-specific initial number of infected individuals. Other model parameters are informed by Illinois-specific data or best estimates from existing literature. We fit the model to incident in-hospital deaths and confirmed COVID-19 ICU cases prior to May 15, 2020.   For inference, we use maximum likelihood inference via sequential Monte Carlo for partially observed Markov process models (POMP).   We assume that hospitalized deaths are reported with probability 0.8075 and we fitted the reporting rate of non-hospitalized deaths.  The model can be adapted to investigate different types of interventions.  We currently model shelter-in-place as a reduction in the overall transmission rate, which is shared by all infected individuals, and reductions in age- and location-specific contact rates.
To model the relaxing of shelter-in-place interventions, we project three different scenarios. 1) The inferred post-intervention transmission rate remains unchanged. We assume that this is maximum reduction in transmission and call this model CovidIL_100. 2) The post-SIP transmission rate increases 10% of the way back to pre-SIP transmission according to a logistic function centered on June 1. We call this model CovidIL_10_increase. 3) The post-SIP transmission rate increases 30% of the way back to pre-SIP transmission according to a logistic function centered on June 1. We call this model CovidIL_30_increase.",NIH,NA,NA,NA,NA,NA
University of Chicago,CovidIL_30_increase,UChicago-CovidIL_30_+,"Sarah Cobey <cobey@uchicago.edu>, Philip Arevalo, Ed Baskerville, Spencer Carran, Katelyn Gostic, Laugen McGough, Sylvia Ranjeva, Frank Wen",https://github.com/cobeylab/covid_IL,cc-by-4.0,other,"This is a compartmental, age-structured SEIR model that infers past  SARS-CoV-2 transmission rates and forecasts mortality  under current and hypothetical public health interventions.",Confirmed COVID-19 deaths by EMS region in Illinois; ICU beds occupied by confirmed COVID-19 patients by EMS region in Illinois,"The model is age-structured to capture both age-specific contact patterns and age-specific differences in the biological dynamics, such as the probability of asymptomatic infection. Each model compartment is sub-divided into nine different age categories.  To model the state of Illinois, we divide the state into four regions based on the Restore Illinois plan. We infer a common statewide pre-intervention transmission rate, and a separate post-intervention transmission rate for each of the four regions. We also infer a region-specific initial number of infected individuals. Other model parameters are informed by Illinois-specific data or best estimates from existing literature. We fit the model to incident in-hospital deaths and confirmed COVID-19 ICU cases prior to May 15, 2020.   For inference, we use maximum likelihood inference via sequential Monte Carlo for partially observed Markov process models (POMP).   We assume that hospitalized deaths are reported with probability 0.8075 and we fitted the reporting rate of non-hospitalized deaths.  The model can be adapted to investigate different types of interventions.  We currently model shelter-in-place as a reduction in the overall transmission rate, which is shared by all infected individuals, and reductions in age- and location-specific contact rates.
To model the relaxing of shelter-in-place interventions, we project three different scenarios. 1) The inferred post-intervention transmission rate remains unchanged. We assume that this is maximum reduction in transmission and call this model CovidIL_100. 2) The post-SIP transmission rate increases 10% of the way back to pre-SIP transmission according to a logistic function centered on June 1. We call this model CovidIL_10_increase. 3) The post-SIP transmission rate increases 30% of the way back to pre-SIP transmission according to a logistic function centered on June 1. We call this model CovidIL_30_increase.",NIH,NA,NA,NA,NA,NA
University of Chicago,CovidIL_40,UChicago-CovidIL_40,"Sarah Cobey <cobey@uchicago.edu>, Philip Arevalo, Ed Baskerville, Spencer Carran, Katelyn Gostic, Laugen McGough, Sylvia Ranjeva, Frank Wen",https://github.com/cobeylab/covid_IL,cc-by-nc-4.0,other,"This is a compartmental, age-structured SEIR model that infers past  SARS-CoV-2 transmission rates and forecasts mortality  under current and hypothetical public health interventions.",Confirmed COVID-19 deaths by EMS region in Illinois; ICU beds occupied by confirmed COVID-19 patients by EMS region in Illinois,"The model is age-structured to capture both age-specific contact patterns and age-specific differences in the biological dynamics, such as the probability of asymptomatic infection. Each model compartment is sub-divided into nine different age categories.  To model the state of Illinois, we divide the state into 3 regions based on similarities in epidemic dynamics. We infer a common statewide pre-intervention transmission rate, and a separate post-intervention transmission rate for each of the three regions. We also infer a region-specific initial number of infected individuals. Other model parameters are informed by Illinois-specific data or best estimates from existing literature. We fit the model to incident in-hospital deaths and confirmed COVID-19 ICU cases prior to May 8, 2020.   For inference, we use maximum likelihood inference via sequential Monte Carlo for partially observed Markov process models (POMP). 	 We assume that hospitalized deaths are reported with probability 0.8075. Because we do not know what might cause underreporting of non-hospitalized deaths, our simulations integrate over that uncertainty by assuming that the reporting rate for non-hospitalized deaths is uniformly distributed from 0.25 to 0.75. The model can be adapted to investigate different types of interventions.  We currently model shelter-in-place as a reduction in the overall transmission rate, which is shared by all infected individuals, and reductions in age- and location-specific contact rates.
To model the relaxing of shelter-in-place interventions, we project four different scenarios. 1) The inferred post-intervention transmission rate remains unchanged. We assume that this is maximum reduction in transmission and call this model CovidIL_100. At our current estimates, this corresponds to a 78% reduction in pre-intervention transmission. 2) Transmission rates increase to 80% of the maximum reduction in transmission according to a logistic function centered on May 29. We call this model CovidIL_80. At our current estimates, this corresopnds to a 74% reduction in pre-intervention transmission. 3) Transmission rates increase to 60% of the maximum reduction in transmission according to a logistic function centered on May 29. We call this model CovidIL_60. At our current estimates, this corresopnds to a 69% reduction in pre-intervention transmission. 4) Transmission rates increase to 40% of the maximum reduction in transmission according to a logistic function centered on May 29. We call this model CovidIL_40. At our current estimates, this corresopnds to a 65% reduction in pre-intervention transmission.",NIH,NA,NA,NA,NA,NA
University of Chicago,CovidIL_60,UChicago-CovidIL_60,"Sarah Cobey <cobey@uchicago.edu>, Philip Arevalo, Ed Baskerville, Spencer Carran, Katelyn Gostic, Laugen McGough, Sylvia Ranjeva, Frank Wen",https://github.com/cobeylab/covid_IL,cc-by-nc-4.0,other,"This is a compartmental, age-structured SEIR model that infers past  SARS-CoV-2 transmission rates and forecasts mortality  under current and hypothetical public health interventions.",Confirmed COVID-19 deaths by EMS region in Illinois; ICU beds occupied by confirmed COVID-19 patients by EMS region in Illinois,"The model is age-structured to capture both age-specific contact patterns and age-specific differences in the biological dynamics, such as the probability of asymptomatic infection. Each model compartment is sub-divided into nine different age categories.  To model the state of Illinois, we divide the state into 3 regions based on similarities in epidemic dynamics. We infer a common statewide pre-intervention transmission rate, and a separate post-intervention transmission rate for each of the three regions. We also infer a region-specific initial number of infected individuals. Other model parameters are informed by Illinois-specific data or best estimates from existing literature. We fit the model to incident in-hospital deaths and confirmed COVID-19 ICU cases prior to May 8, 2020.   For inference, we use maximum likelihood inference via sequential Monte Carlo for partially observed Markov process models (POMP). 	 We assume that hospitalized deaths are reported with probability 0.8075. Because we do not know what might cause underreporting of non-hospitalized deaths, our simulations integrate over that uncertainty by assuming that the reporting rate for non-hospitalized deaths is uniformly distributed from 0.25 to 0.75. The model can be adapted to investigate different types of interventions.  We currently model shelter-in-place as a reduction in the overall transmission rate, which is shared by all infected individuals, and reductions in age- and location-specific contact rates.
To model the relaxing of shelter-in-place interventions, we project four different scenarios. 1) The inferred post-intervention transmission rate remains unchanged. We assume that this is maximum reduction in transmission and call this model CovidIL_100. At our current estimates, this corresponds to a 78% reduction in pre-intervention transmission. 2) Transmission rates increase to 80% of the maximum reduction in transmission according to a logistic function centered on May 29. We call this model CovidIL_80. At our current estimates, this corresopnds to a 74% reduction in pre-intervention transmission. 3) Transmission rates increase to 60% of the maximum reduction in transmission according to a logistic function centered on May 29. We call this model CovidIL_60. At our current estimates, this corresopnds to a 69% reduction in pre-intervention transmission. 4) Transmission rates increase to 40% of the maximum reduction in transmission according to a logistic function centered on May 29. We call this model CovidIL_40. At our current estimates, this corresopnds to a 65% reduction in pre-intervention transmission.",NIH,NA,NA,NA,NA,NA
University of Chicago,CovidIL_80,UChicago-CovidIL_80,"Sarah Cobey <cobey@uchicago.edu>, Philip Arevalo, Ed Baskerville, Spencer Carran, Katelyn Gostic, Laugen McGough, Sylvia Ranjeva, Frank Wen",https://github.com/cobeylab/covid_IL,cc-by-nc-4.0,other,"This is a compartmental, age-structured SEIR model that infers past  SARS-CoV-2 transmission rates and forecasts mortality  under current and hypothetical public health interventions.",Confirmed COVID-19 deaths by EMS region in Illinois; ICU beds occupied by confirmed COVID-19 patients by EMS region in Illinois,"The model is age-structured to capture both age-specific contact patterns and age-specific differences in the biological dynamics, such as the probability of asymptomatic infection. Each model compartment is sub-divided into nine different age categories.  To model the state of Illinois, we divide the state into 3 regions based on similarities in epidemic dynamics. We infer a common statewide pre-intervention transmission rate, and a separate post-intervention transmission rate for each of the three regions. We also infer a region-specific initial number of infected individuals. Other model parameters are informed by Illinois-specific data or best estimates from existing literature. We fit the model to incident in-hospital deaths and confirmed COVID-19 ICU cases prior to May 8, 2020.   For inference, we use maximum likelihood inference via sequential Monte Carlo for partially observed Markov process models (POMP). 	 We assume that hospitalized deaths are reported with probability 0.8075. Because we do not know what might cause underreporting of non-hospitalized deaths, our simulations integrate over that uncertainty by assuming that the reporting rate for non-hospitalized deaths is uniformly distributed from 0.25 to 0.75. The model can be adapted to investigate different types of interventions.  We currently model shelter-in-place as a reduction in the overall transmission rate, which is shared by all infected individuals, and reductions in age- and location-specific contact rates.
To model the relaxing of shelter-in-place interventions, we project four different scenarios. 1) The inferred post-intervention transmission rate remains unchanged. We assume that this is maximum reduction in transmission and call this model CovidIL_100. At our current estimates, this corresponds to a 78% reduction in pre-intervention transmission. 2) Transmission rates increase to 80% of the maximum reduction in transmission according to a logistic function centered on May 29. We call this model CovidIL_80. At our current estimates, this corresopnds to a 74% reduction in pre-intervention transmission. 3) Transmission rates increase to 60% of the maximum reduction in transmission according to a logistic function centered on May 29. We call this model CovidIL_60. At our current estimates, this corresopnds to a 69% reduction in pre-intervention transmission. 4) Transmission rates increase to 40% of the maximum reduction in transmission according to a logistic function centered on May 29. We call this model CovidIL_40. At our current estimates, this corresopnds to a 65% reduction in pre-intervention transmission.",NIH,NA,NA,NA,NA,NA
